trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_area_id,drop_off_area_id,pickup_service_area_radius,drop_off_service_area_radius
t_179861_b_4263_tn_0,06:12:00,06:12:00,759879,2,,0,0,528.825614534805,1,,,,,1,1,,,,
t_179861_b_4263_tn_0,,,759880,3,,0,0,937.09388296519,0,,,,,1,1,,,,
t_179861_b_4263_tn_0,,,759881,4,,0,0,1198.37469617204,0,,,,,1,1,,,,
t_179861_b_4263_tn_0,06:13:00,06:13:00,759882,5,,0,0,1322.33991184021,1,,,,,1,1,,,,
t_179861_b_4263_tn_0,,,759883,6,,0,0,1587.81875336121,0,,,,,1,1,,,,
t_179861_b_4263_tn_0,,,759884,7,,0,0,1804.06246879066,0,,,,,1,1,,,,
t_179861_b_4263_tn_0,06:14:00,06:14:00,759885,8,,0,0,2124.1156785361,1,,,,,1,1,,,,
t_179861_b_4263_tn_0,,,759886,9,,0,0,2371.30824918761,0,,,,,1,1,,,,
t_179861_b_4263_tn_0,06:15:00,06:15:00,759887,10,,0,0,2654.72084685166,1,,,,,1,1,,,,
t_179861_b_4263_tn_0,,,759888,11,,0,0,2880.46294254116,0,,,,,1,1,,,,
t_179861_b_4263_tn_0,06:16:00,06:16:00,759889,12,,0,0,3097.38020760462,1,,,,,1,1,,,,
t_179861_b_4263_tn_0,,,759890,13,,0,0,3295.37263459829,0,,,,,1,1,,,,
t_179861_b_4263_tn_0,06:18:00,06:18:00,759891,14,,0,0,3578.71791570204,1,,,,,1,1,,,,
t_179861_b_4263_tn_0,06:21:00,06:21:00,759499,15,,0,0,4073.18039519,1,,,,,1,1,,,,
t_179862_b_4263_tn_0,06:00:00,06:00:00,759499,1,,0,0,0,1,,,,,1,1,,,,
t_179862_b_4263_tn_0,,,759584,2,,0,0,399.118497086833,0,,,,,1,1,,,,
t_179862_b_4263_tn_0,06:01:00,06:01:00,760036,3,,0,0,611.098650646611,1,,,,,1,1,,,,
t_179862_b_4263_tn_0,,,760037,4,,0,0,885.170091024665,0,,,,,1,1,,,,
t_179862_b_4263_tn_0,,,759708,5,,0,0,1090.35422285408,0,,,,,1,1,,,,
t_179862_b_4263_tn_0,06:03:00,06:03:00,760038,6,,0,0,1463.86521728413,1,,,,,1,1,,,,
t_179862_b_4263_tn_0,,,760039,7,,0,0,1668.24552510403,0,,,,,1,1,,,,
t_179862_b_4263_tn_0,,,760040,8,,0,0,1983.89865123444,0,,,,,1,1,,,,
t_179862_b_4263_tn_0,,,760041,9,,0,0,2150.92206330209,0,,,,,1,1,,,,
t_179862_b_4263_tn_0,,,760042,10,,0,0,2378.23730432722,0,,,,,1,1,,,,
t_179862_b_4263_tn_0,06:06:00,06:06:00,760043,11,,0,0,2624.19654081842,1,,,,,1,1,,,,
t_179862_b_4263_tn_0,,,760044,12,,0,0,2812.90238729754,0,,,,,1,1,,,,
t_179862_b_4263_tn_0,,,759629,13,,0,0,2903.35581166755,0,,,,,1,1,,,,
t_179862_b_4263_tn_0,06:07:00,06:07:00,760045,14,,0,0,3106.94609203592,1,,,,,1,1,,,,
t_179862_b_4263_tn_0,,,760046,15,,0,0,3338.43334739777,0,,,,,1,1,,,,
t_179862_b_4263_tn_0,06:08:00,06:08:00,760047,16,,0,0,3684.93890419334,1,,,,,1,1,,,,
t_179862_b_4263_tn_0,,,760080,17,,0,0,3968.21934604745,0,,,,,1,1,,,,
t_179862_b_4263_tn_0,,,760048,18,,0,0,4183.13696525982,0,,,,,1,1,,,,
t_179862_b_4263_tn_0,,,760049,19,,0,0,4361.38272073367,0,,,,,1,1,,,,
t_179862_b_4263_tn_0,06:10:00,06:10:00,760050,20,,0,0,4591.10024497637,1,,,,,1,1,,,,
t_179862_b_4263_tn_0,,,760051,21,,0,0,4932.96206127184,0,,,,,1,1,,,,
t_179862_b_4263_tn_0,,,760052,22,,0,0,5314.250369777,0,,,,,1,1,,,,
t_179862_b_4263_tn_0,,,760053,23,,0,0,5522.25427672788,0,,,,,1,1,,,,
t_179862_b_4263_tn_0,06:12:00,06:12:00,760054,24,,0,0,6165.12779029909,1,,,,,1,1,,,,
t_179862_b_4263_tn_0,,,760055,25,,0,0,6431.36567552728,0,,,,,1,1,,,,
t_179862_b_4263_tn_0,,,760056,26,,0,0,6768.08543980341,0,,,,,1,1,,,,
t_179862_b_4263_tn_0,,,760057,27,,0,0,7155.30859621644,0,,,,,1,1,,,,
t_179862_b_4263_tn_0,,,760058,28,,0,0,7441.21953130343,0,,,,,1,1,,,,
t_179862_b_4263_tn_0,,,760059,29,,0,0,7612.80790032447,0,,,,,1,1,,,,
t_179862_b_4263_tn_0,,,760060,30,,0,0,7747.90685936822,0,,,,,1,1,,,,
t_179862_b_4263_tn_0,,,760061,31,,0,0,7898.32355932648,0,,,,,1,1,,,,
t_179862_b_4263_tn_0,,,760081,32,,0,0,8082.12133718103,0,,,,,1,1,,,,
t_179862_b_4263_tn_0,06:17:00,06:17:00,760062,33,,0,0,8360.25953349371,1,,,,,1,1,,,,
t_179862_b_4263_tn_0,,,760063,34,,0,0,8788.47324358693,0,,,,,1,1,,,,
t_179862_b_4263_tn_0,,,759586,35,,0,0,9026.06547101762,0,,,,,1,1,,,,
t_179862_b_4263_tn_0,,,759587,36,,0,0,9169.97715685097,0,,,,,1,1,,,,
t_179862_b_4263_tn_0,06:19:00,06:19:00,760064,37,,0,0,9363.96077828436,1,,,,,1,1,,,,
t_179862_b_4263_tn_0,,,760065,38,,0,0,9678.47080397797,0,,,,,1,1,,,,
t_179862_b_4263_tn_0,,,759894,39,,0,0,9916.55374573956,0,,,,,1,1,,,,
t_179862_b_4263_tn_0,,,760066,40,,0,0,10080.3218788669,0,,,,,1,1,,,,
t_179862_b_4263_tn_0,06:22:00,06:22:00,760067,41,,0,0,10440.1040711869,1,,,,,1,1,,,,
t_179862_b_4263_tn_0,,,759762,42,,0,0,10691.8311364922,0,,,,,1,1,,,,
t_179862_b_4263_tn_0,06:23:00,06:23:00,759763,43,,0,0,11061.5402196579,1,,,,,1,1,,,,
t_179862_b_4263_tn_0,06:27:00,06:27:00,759499,44,,0,0,11590.29044012,1,,,,,1,1,,,,
t_179865_b_4263_tn_0,06:00:00,06:00:00,759499,1,,0,0,0,1,,,,,1,1,,,,
t_179865_b_4263_tn_0,,,759764,2,,0,0,246.325567437983,0,,,,,1,1,,,,
t_179865_b_4263_tn_0,06:02:00,06:02:00,759865,3,,0,0,634.254120520575,1,,,,,1,1,,,,
t_179865_b_4263_tn_0,,,759866,4,,0,0,916.099086980633,0,,,,,1,1,,,,
t_179865_b_4263_tn_0,06:04:00,06:04:00,759867,5,,0,0,1134.96907244784,1,,,,,1,1,,,,
t_179865_b_4263_tn_0,,,759868,6,,0,0,1341.78025625056,0,,,,,1,1,,,,
t_179865_b_4263_tn_0,06:05:00,06:05:00,759869,7,,0,0,1531.63017941761,1,,,,,1,1,,,,
t_179865_b_4263_tn_0,,,759870,8,,0,0,1881.37484031257,0,,,,,1,1,,,,
t_179865_b_4263_tn_0,06:06:00,06:06:00,759871,9,,0,0,2081.91583987452,1,,,,,1,1,,,,
t_179865_b_4263_tn_0,,,759872,10,,0,0,2300.48080122916,0,,,,,1,1,,,,
t_179865_b_4263_tn_0,,,759873,11,,0,0,2437.71264539346,0,,,,,1,1,,,,
t_179865_b_4263_tn_0,06:07:00,06:07:00,759874,12,,0,0,2591.65758206189,1,,,,,1,1,,,,
t_179865_b_4263_tn_0,,,759875,13,,0,0,2898.21552409561,0,,,,,1,1,,,,
t_179865_b_4263_tn_0,,,759876,14,,0,0,3148.66775157328,0,,,,,1,1,,,,
t_179865_b_4263_tn_0,,,759877,15,,0,0,3330.15829214537,0,,,,,1,1,,,,
t_179865_b_4263_tn_0,06:09:00,06:09:00,759878,16,,0,0,3713.71517618057,1,,,,,1,1,,,,
t_179865_b_4263_tn_0,06:10:00,06:10:00,849485,17,,0,0,4170.39760066,0,,,,,1,1,,,,
t_179866_b_4263_tn_0,06:16:00,06:16:00,759923,1,,0,0,0,1,,,,,1,1,,,,
t_179866_b_4263_tn_0,,,759924,2,,0,0,220.093603312758,0,,,,,1,1,,,,
t_179866_b_4263_tn_0,,,759925,3,,0,0,1053.80796181856,0,,,,,1,1,,,,
t_179866_b_4263_tn_0,06:18:00,06:18:00,759926,4,,0,0,1273.41128353754,1,,,,,1,1,,,,
t_179866_b_4263_tn_0,,,759927,5,,0,0,1582.08907620471,0,,,,,1,1,,,,
t_179866_b_4263_tn_0,06:19:00,06:19:00,759928,6,,0,0,1808.75549507283,1,,,,,1,1,,,,
t_179866_b_4263_tn_0,,,759929,7,,0,0,2111.97647470239,0,,,,,1,1,,,,
t_179866_b_4263_tn_0,,,759930,8,,0,0,2324.69824073947,0,,,,,1,1,,,,
t_179866_b_4263_tn_0,,,759931,9,,0,0,2573.49751024969,0,,,,,1,1,,,,
t_179866_b_4263_tn_0,06:21:00,06:21:00,759932,10,,0,0,3002.32323817937,1,,,,,1,1,,,,
t_179866_b_4263_tn_0,06:24:00,06:24:00,759933,11,,0,0,3393.97543347,1,,,,,1,1,,,,
t_179867_b_4263_tn_0,05:24:00,05:24:00,759933,1,,0,0,0,1,,,,,1,1,,,,
t_179867_b_4263_tn_0,,,759934,2,,0,0,364.290343100208,0,,,,,1,1,,,,
t_179867_b_4263_tn_0,,,759935,3,,0,0,853.330399670534,0,,,,,1,1,,,,
t_179867_b_4263_tn_0,,,759936,4,,0,0,1051.21786602368,0,,,,,1,1,,,,
t_179867_b_4263_tn_0,05:26:00,05:26:00,759937,5,,0,0,1467.75033125416,1,,,,,1,1,,,,
t_179867_b_4263_tn_0,,,759938,6,,0,0,1981.36238034539,0,,,,,1,1,,,,
t_179867_b_4263_tn_0,05:29:00,05:29:00,759939,7,,0,0,2310.28750237175,1,,,,,1,1,,,,
t_179867_b_4263_tn_0,05:30:00,05:30:00,759940,8,,0,0,2786.93851512334,1,,,,,1,1,,,,
t_179867_b_4263_tn_0,,,759941,9,,0,0,3073.17620715106,0,,,,,1,1,,,,
t_179867_b_4263_tn_0,,,759942,10,,0,0,3470.75470651726,0,,,,,1,1,,,,
t_179867_b_4263_tn_0,05:32:00,05:32:00,759943,11,,0,0,3845.7727766314,1,,,,,1,1,,,,
t_179867_b_4263_tn_0,,,759944,12,,0,0,4017.51015520492,0,,,,,1,1,,,,
t_179867_b_4263_tn_0,,,759945,13,,0,0,4206.75527075416,0,,,,,1,1,,,,
t_179867_b_4263_tn_0,05:33:00,05:33:00,759946,14,,0,0,4406.08455738658,1,,,,,1,1,,,,
t_179867_b_4263_tn_0,,,759947,15,,0,0,4735.51964777411,0,,,,,1,1,,,,
t_179867_b_4263_tn_0,,,759913,16,,0,0,5440.18921737207,0,,,,,1,1,,,,
t_179867_b_4263_tn_0,05:41:00,05:41:00,759914,17,,0,0,5761.86599789908,1,,,,,1,1,,,,
t_179867_b_4263_tn_0,,,759915,18,,0,0,6246.58492255398,0,,,,,1,1,,,,
t_179867_b_4263_tn_0,,,759948,19,,0,0,6675.34579222644,0,,,,,1,1,,,,
t_179867_b_4263_tn_0,05:43:00,05:43:00,759949,20,,0,0,6922.67257056249,1,,,,,1,1,,,,
t_179867_b_4263_tn_0,,,759950,21,,0,0,7176.17947407289,0,,,,,1,1,,,,
t_179867_b_4263_tn_0,05:44:00,05:44:00,759951,22,,0,0,7476.09768599987,1,,,,,1,1,,,,
t_179867_b_4263_tn_0,,,759952,23,,0,0,7716.94214687939,0,,,,,1,1,,,,
t_179867_b_4263_tn_0,,,759953,24,,0,0,7915.38036374169,0,,,,,1,1,,,,
t_179867_b_4263_tn_0,,,759954,25,,0,0,8174.61483006414,0,,,,,1,1,,,,
t_179867_b_4263_tn_0,,,759955,26,,0,0,8501.90610038943,0,,,,,1,1,,,,
t_179867_b_4263_tn_0,05:45:00,05:45:00,759956,27,,0,0,8985.18493942425,1,,,,,1,1,,,,
t_179867_b_4263_tn_0,,,759957,28,,0,0,9374.72150490836,0,,,,,1,1,,,,
t_179867_b_4263_tn_0,05:47:00,05:47:00,759958,29,,0,0,9592.1474684663,1,,,,,1,1,,,,
t_179867_b_4263_tn_0,,,759959,30,,0,0,9878.9319360589,0,,,,,1,1,,,,
t_179867_b_4263_tn_0,05:50:00,05:50:00,759499,31,,0,0,10366.84332583,1,,,,,1,1,,,,
t_179868_b_4263_tn_0,06:35:00,06:35:00,759499,1,,0,0,0,1,,,,,1,1,,,,
t_179868_b_4263_tn_0,,,759980,2,,0,0,465.992906316322,0,,,,,1,1,,,,
t_179868_b_4263_tn_0,06:38:00,06:38:00,760071,3,,0,0,681.339848187571,1,,,,,1,1,,,,
t_179868_b_4263_tn_0,,,760072,4,,0,0,922.529561678155,0,,,,,1,1,,,,
t_179868_b_4263_tn_0,,,759568,5,,0,0,1086.12655495252,0,,,,,1,1,,,,
t_179868_b_4263_tn_0,06:39:00,06:39:00,759569,6,,0,0,1217.11615389303,1,,,,,1,1,,,,
t_179868_b_4263_tn_0,,,759570,7,,0,0,1694.07410108811,0,,,,,1,1,,,,
t_179868_b_4263_tn_0,,,759571,8,,0,0,2057.34353447878,0,,,,,1,1,,,,
t_179868_b_4263_tn_0,06:41:00,06:41:00,759572,9,,0,0,2311.59882777812,1,,,,,1,1,,,,
t_179868_b_4263_tn_0,,,759573,10,,0,0,2476.47064305834,0,,,,,1,1,,,,
t_179868_b_4263_tn_0,,,759574,11,,0,0,2823.82535604179,0,,,,,1,1,,,,
