route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_type,drt_max_travel_time,drt_avg_travel_time,drt_advance_book_min,drt_pickup_message,drt_drop_off_message,continuous_pickup_message,continuous_drop_off_message
1128,c_4299_b_4263_d_63,t_179905_b_4263_tn_5,,Veterans Affairs Tunnel Rd,0,1365,p_2966,,,,,,,,,,
1128,c_4299_b_4263_d_63,t_179905_b_4263_tn_6,,Veterans Affairs Tunnel Rd,0,1365,p_2966,,,,,,,,,,
1128,c_4299_b_4263_d_63,t_179905_b_4263_tn_7,,Veterans Affairs Tunnel Rd,0,1365,p_2966,,,,,,,,,,
1128,c_4299_b_4263_d_63,t_179905_b_4263_tn_8,,Veterans Affairs Tunnel Rd,0,1365,p_2966,,,,,,,,,,
1128,c_4299_b_4263_d_63,t_179905_b_4263_tn_9,,Veterans Affairs Tunnel Rd,0,1365,p_2966,,,,,,,,,,
1128,c_4299_b_4263_d_63,t_179906_b_4263_tn_1,,Veterans Affairs Tunnel Rd,0,1366,p_2966,,,,,,,,,,
1128,c_4299_b_4263_d_63,t_179906_b_4263_tn_2,,Veterans Affairs Tunnel Rd,0,1366,p_2966,,,,,,,,,,
1128,c_4299_b_4263_d_63,t_179906_b_4263_tn_3,,Veterans Affairs Tunnel Rd,0,1366,p_2966,,,,,,,,,,
1128,c_4299_b_4263_d_63,t_179906_b_4263_tn_4,,Veterans Affairs Tunnel Rd,0,1366,p_2966,,,,,,,,,,
1128,c_4299_b_4263_d_63,t_179906_b_4263_tn_5,,Veterans Affairs Tunnel Rd,0,1366,p_2966,,,,,,,,,,
1128,c_4299_b_4263_d_63,t_179906_b_4263_tn_6,,Veterans Affairs Tunnel Rd,0,1366,p_2966,,,,,,,,,,
1128,c_4299_b_4263_d_63,t_179906_b_4263_tn_7,,Veterans Affairs Tunnel Rd,0,1366,p_2966,,,,,,,,,,
1128,c_4299_b_4263_d_63,t_179906_b_4263_tn_8,,Veterans Affairs Tunnel Rd,0,1366,p_2966,,,,,,,,,,
1128,c_4299_b_4263_d_63,t_179979_b_4263_tn_5,, Bleachery Blvd at WalMart / Kohls,0,1402,p_2965,,,,,,,,,,
1128,c_4299_b_4263_d_63,t_179979_b_4263_tn_4,, Bleachery Blvd at WalMart / Kohls,0,1402,p_2965,,,,,,,,,,
1128,c_4299_b_4263_d_63,t_179979_b_4263_tn_3,, Bleachery Blvd at WalMart / Kohls,0,1402,p_2965,,,,,,,,,,
1128,c_4299_b_4263_d_63,t_179979_b_4263_tn_2,, Bleachery Blvd at WalMart / Kohls,0,1402,p_2965,,,,,,,,,,
1128,c_4299_b_4263_d_63,t_179979_b_4263_tn_1,, Bleachery Blvd at WalMart / Kohls,0,1402,p_2965,,,,,,,,,,
1128,c_4299_b_4263_d_63,t_179905_b_4263_tn_1,,Veterans Affairs Tunnel Rd,0,1365,p_2966,,,,,,,,,,
1128,c_4299_b_4263_d_63,t_179905_b_4263_tn_10,,Veterans Affairs Tunnel Rd,0,1365,p_2966,,,,,,,,,,
1128,c_4299_b_4263_d_63,t_179905_b_4263_tn_11,,Veterans Affairs Tunnel Rd,0,1365,p_2966,,,,,,,,,,
1128,c_4299_b_4263_d_63,t_179905_b_4263_tn_12,,Veterans Affairs Tunnel Rd,0,1365,p_2966,,,,,,,,,,
1128,c_4299_b_4263_d_63,t_179905_b_4263_tn_13,,Veterans Affairs Tunnel Rd,0,1365,p_2966,,,,,,,,,,
1128,c_4299_b_4263_d_63,t_179905_b_4263_tn_2,,Veterans Affairs Tunnel Rd,0,1365,p_2966,,,,,,,,,,
1128,c_4299_b_4263_d_63,t_179905_b_4263_tn_3,,Veterans Affairs Tunnel Rd,0,1365,p_2966,,,,,,,,,,
1128,c_4299_b_4263_d_63,t_179905_b_4263_tn_4,,Veterans Affairs Tunnel Rd,0,1365,p_2966,,,,,,,,,,
1128,c_4299_b_4263_d_63,t_179916_b_4263_tn_8,,ART Station,1,1366,p_2975,,,,,,,,,,
1128,c_4299_b_4263_d_63,t_179915_b_4263_tn_2,,ART Station,1,1365,p_2975,,,,,,,,,,
1128,c_4299_b_4263_d_63,t_179915_b_4263_tn_3,,ART Station,1,1365,p_2975,,,,,,,,,,
1128,c_4299_b_4263_d_63,t_179915_b_4263_tn_4,,ART Station,1,1365,p_2975,,,,,,,,,,
1128,c_4299_b_4263_d_63,t_179915_b_4263_tn_5,,ART Station,1,1365,p_2975,,,,,,,,,,
1128,c_4299_b_4263_d_63,t_179915_b_4263_tn_6,,ART Station,1,1365,p_2975,,,,,,,,,,
1128,c_4299_b_4263_d_63,t_179915_b_4263_tn_7,,ART Station,1,1365,p_2975,,,,,,,,,,
1128,c_4299_b_4263_d_63,t_179915_b_4263_tn_8,,ART Station,1,1365,p_2975,,,,,,,,,,
1128,c_4299_b_4263_d_63,t_179915_b_4263_tn_9,,ART Station,1,1365,p_2975,,,,,,,,,,
1128,c_4299_b_4263_d_63,t_179916_b_4263_tn_1,,ART Station,1,1366,p_2975,,,,,,,,,,
1128,c_4299_b_4263_d_63,t_179916_b_4263_tn_2,,ART Station,1,1366,p_2975,,,,,,,,,,
1128,c_4299_b_4263_d_63,t_179916_b_4263_tn_3,,ART Station,1,1366,p_2975,,,,,,,,,,
1128,c_4299_b_4263_d_63,t_179916_b_4263_tn_4,,ART Station,1,1366,p_2975,,,,,,,,,,
1128,c_4299_b_4263_d_63,t_179916_b_4263_tn_5,,ART Station,1,1366,p_2975,,,,,,,,,,
1128,c_4299_b_4263_d_63,t_179916_b_4263_tn_6,,ART Station,1,1366,p_2975,,,,,,,,,,
1128,c_4299_b_4263_d_63,t_179916_b_4263_tn_7,,ART Station,1,1366,p_2975,,,,,,,,,,
1128,c_4299_b_4263_d_63,t_179915_b_4263_tn_13,,ART Station,1,1365,p_2975,,,,,,,,,,
1128,c_4299_b_4263_d_63,t_179980_b_4263_tn_5,,ART Station,1,1402,p_2974,,,,,,,,,,
1128,c_4299_b_4263_d_63,t_179980_b_4263_tn_4,,ART Station,1,1402,p_2974,,,,,,,,,,
1128,c_4299_b_4263_d_63,t_179980_b_4263_tn_3,,ART Station,1,1402,p_2974,,,,,,,,,,
1128,c_4299_b_4263_d_63,t_179980_b_4263_tn_2,,ART Station,1,1402,p_2974,,,,,,,,,,
1128,c_4299_b_4263_d_63,t_179980_b_4263_tn_1,,ART Station,1,1402,p_2974,,,,,,,,,,
1128,c_4299_b_4263_d_63,t_179915_b_4263_tn_1,,ART Station,1,1365,p_2975,,,,,,,,,,
1128,c_4299_b_4263_d_63,t_179915_b_4263_tn_10,,ART Station,1,1365,p_2975,,,,,,,,,,
1128,c_4299_b_4263_d_63,t_179915_b_4263_tn_11,,ART Station,1,1365,p_2975,,,,,,,,,,
1128,c_4299_b_4263_d_63,t_179915_b_4263_tn_12,,ART Station,1,1365,p_2975,,,,,,,,,,
1128,c_4299_b_4263_d_64,t_179954_b_4263_tn_3,, Bleachery Blvd at WalMart / Kohls,0,2297,p_2965,,,,,,,,,,
1128,c_4299_b_4263_d_64,t_179954_b_4263_tn_1,, Bleachery Blvd at WalMart / Kohls,0,2297,p_2965,,,,,,,,,,
1128,c_4299_b_4263_d_64,t_179954_b_4263_tn_10,, Bleachery Blvd at WalMart / Kohls,0,2297,p_2965,,,,,,,,,,
1128,c_4299_b_4263_d_64,t_179954_b_4263_tn_2,, Bleachery Blvd at WalMart / Kohls,0,2297,p_2965,,,,,,,,,,
1128,c_4299_b_4263_d_64,t_179954_b_4263_tn_9,, Bleachery Blvd at WalMart / Kohls,0,2297,p_2965,,,,,,,,,,
1128,c_4299_b_4263_d_64,t_179954_b_4263_tn_8,, Bleachery Blvd at WalMart / Kohls,0,2297,p_2965,,,,,,,,,,
1128,c_4299_b_4263_d_64,t_179954_b_4263_tn_7,, Bleachery Blvd at WalMart / Kohls,0,2297,p_2965,,,,,,,,,,
1128,c_4299_b_4263_d_64,t_179954_b_4263_tn_6,, Bleachery Blvd at WalMart / Kohls,0,2297,p_2965,,,,,,,,,,
1128,c_4299_b_4263_d_64,t_179954_b_4263_tn_5,, Bleachery Blvd at WalMart / Kohls,0,2297,p_2965,,,,,,,,,,
1128,c_4299_b_4263_d_64,t_179954_b_4263_tn_4,, Bleachery Blvd at WalMart / Kohls,0,2297,p_2965,,,,,,,,,,
1128,c_4299_b_4263_d_64,t_179929_b_4263_tn_7,,ART Station,1,2297,p_2974,,,,,,,,,,
1128,c_4299_b_4263_d_64,t_179929_b_4263_tn_9,,ART Station,1,2297,p_2974,,,,,,,,,,
1128,c_4299_b_4263_d_64,t_179929_b_4263_tn_8,,ART Station,1,2297,p_2974,,,,,,,,,,
1128,c_4299_b_4263_d_64,t_179929_b_4263_tn_6,,ART Station,1,2297,p_2974,,,,,,,,,,
1128,c_4299_b_4263_d_64,t_179929_b_4263_tn_5,,ART Station,1,2297,p_2974,,,,,,,,,,
1128,c_4299_b_4263_d_64,t_179929_b_4263_tn_4,,ART Station,1,2297,p_2974,,,,,,,,,,
1128,c_4299_b_4263_d_64,t_179929_b_4263_tn_3,,ART Station,1,2297,p_2974,,,,,,,,,,
1128,c_4299_b_4263_d_64,t_179929_b_4263_tn_2,,ART Station,1,2297,p_2974,,,,,,,,,,
1128,c_4299_b_4263_d_64,t_179929_b_4263_tn_10,,ART Station,1,2297,p_2974,,,,,,,,,,
1128,c_4299_b_4263_d_64,t_179929_b_4263_tn_1,,ART Station,1,2297,p_2974,,,,,,,,,,
1128,c_4299_b_none_d_64,t_179954_b_none_tn_8,, Bleachery Blvd at WalMart / Kohls,0,2297,p_2965,,,,,,,,,,
1128,c_4299_b_none_d_64,t_179954_b_none_tn_7,, Bleachery Blvd at WalMart / Kohls,0,2297,p_2965,,,,,,,,,,
1128,c_4299_b_none_d_64,t_179954_b_none_tn_6,, Bleachery Blvd at WalMart / Kohls,0,2297,p_2965,,,,,,,,,,
1128,c_4299_b_none_d_64,t_179954_b_none_tn_5,, Bleachery Blvd at WalMart / Kohls,0,2297,p_2965,,,,,,,,,,
1128,c_4299_b_none_d_64,t_179954_b_none_tn_4,, Bleachery Blvd at WalMart / Kohls,0,2297,p_2965,,,,,,,,,,
1128,c_4299_b_none_d_64,t_179954_b_none_tn_3,, Bleachery Blvd at WalMart / Kohls,0,2297,p_2965,,,,,,,,,,
1128,c_4299_b_none_d_64,t_179954_b_none_tn_1,, Bleachery Blvd at WalMart / Kohls,0,2297,p_2965,,,,,,,,,,
1128,c_4299_b_none_d_64,t_179954_b_none_tn_2,, Bleachery Blvd at WalMart / Kohls,0,2297,p_2965,,,,,,,,,,
1128,c_4299_b_none_d_64,t_179954_b_none_tn_10,, Bleachery Blvd at WalMart / Kohls,0,2297,p_2965,,,,,,,,,,
1128,c_4299_b_none_d_64,t_179954_b_none_tn_9,, Bleachery Blvd at WalMart / Kohls,0,2297,p_2965,,,,,,,,,,
1128,c_4299_b_none_d_64,t_179929_b_none_tn_6,,ART Station,1,2297,p_2974,,,,,,,,,,
1128,c_4299_b_none_d_64,t_179929_b_none_tn_5,,ART Station,1,2297,p_2974,,,,,,,,,,
1128,c_4299_b_none_d_64,t_179929_b_none_tn_4,,ART Station,1,2297,p_2974,,,,,,,,,,
1128,c_4299_b_none_d_64,t_179929_b_none_tn_1,,ART Station,1,2297,p_2974,,,,,,,,,,
1128,c_4299_b_none_d_64,t_179929_b_none_tn_10,,ART Station,1,2297,p_2974,,,,,,,,,,
1128,c_4299_b_none_d_64,t_179929_b_none_tn_2,,ART Station,1,2297,p_2974,,,,,,,,,,
1128,c_4299_b_none_d_64,t_179929_b_none_tn_8,,ART Station,1,2297,p_2974,,,,,,,,,,
1128,c_4299_b_none_d_64,t_179929_b_none_tn_7,,ART Station,1,2297,p_2974,,,,,,,,,,
1128,c_4299_b_none_d_64,t_179929_b_none_tn_3,,ART Station,1,2297,p_2974,,,,,,,,,,
1128,c_4299_b_none_d_64,t_179929_b_none_tn_9,,ART Station,1,2297,p_2974,,,,,,,,,,
1129,c_4299_b_4263_d_31,t_179877_b_4263_tn_0,,Porters Cove Rd. I-40/ End of the line,0,1369,p_2967,,,,,,,,,,
1129,c_4299_b_4263_d_31,t_179885_b_4263_tn_0,,ART Station,1,1369,p_2993,,,,,,,,,,
1129,c_4299_b_4263_d_63,t_179920_b_4263_tn_6,,Porters Cove Rd. I-40/ End of the line,0,1369,p_2967,,,,,,,,,,
1129,c_4299_b_4263_d_63,t_179920_b_4263_tn_1,,Porters Cove Rd. I-40/ End of the line,0,1369,p_2967,,,,,,,,,,
1129,c_4299_b_4263_d_63,t_179920_b_4263_tn_10,,Porters Cove Rd. I-40/ End of the line,0,1369,p_2967,,,,,,,,,,
1129,c_4299_b_4263_d_63,t_179920_b_4263_tn_11,,Porters Cove Rd. I-40/ End of the line,0,1369,p_2967,,,,,,,,,,
1129,c_4299_b_4263_d_63,t_179920_b_4263_tn_12,,Porters Cove Rd. I-40/ End of the line,0,1369,p_2967,,,,,,,,,,
1129,c_4299_b_4263_d_63,t_179920_b_4263_tn_13,,Porters Cove Rd. I-40/ End of the line,0,1369,p_2967,,,,,,,,,,
1129,c_4299_b_4263_d_63,t_179920_b_4263_tn_2,,Porters Cove Rd. I-40/ End of the line,0,1369,p_2967,,,,,,,,,,
1129,c_4299_b_4263_d_63,t_179920_b_4263_tn_3,,Porters Cove Rd. I-40/ End of the line,0,1369,p_2967,,,,,,,,,,
1129,c_4299_b_4263_d_63,t_179920_b_4263_tn_4,,Porters Cove Rd. I-40/ End of the line,0,1369,p_2967,,,,,,,,,,
1129,c_4299_b_4263_d_63,t_179920_b_4263_tn_5,,Porters Cove Rd. I-40/ End of the line,0,1369,p_2967,,,,,,,,,,
1129,c_4299_b_4263_d_63,t_179920_b_4263_tn_7,,Porters Cove Rd. I-40/ End of the line,0,1369,p_2967,,,,,,,,,,
